token
"['gibran', 'rakabuming', 'raka', 'ungkap', 'fakta', 'temu', 'prabowo', 'salah', 'satu', 'saran', 'prabowo', 'gibran', 'maju', 'pilgub', 'dki', 'jateng']"
"['menteri', 'tani', 'buka', 'daftar', 'beasiswa', 'sdm', 'sawit', 'beasiswa', 'buka', 'kebun', 'kelapa', 'sawit', 'anggota', 'koperasi', 'perkelapasawitan']"
"['milik', 'anak', 'tampil', 'sandra', 'dewi', 'tawan', 'tampil', 'sandra', 'dewi', 'tahun']"
"['nikita', 'mirzani', 'kemarin', 'heboh', 'kabar', 'sangka', 'cemar', 'nama', 'ngaku', 'fokus', 'usut', 'heboh', 'surat']"
"['video', 'viral', 'tol', 'becakayu', 'ambruk', 'lalin', 'jembatan', 'antilope', 'lintas', 'kendara', 'kendara', 'tunduk', 'kuatir']"
"['chairman', 'ct', 'corp', 'chairul', 'tanjung', 'kado', 'istimewa', 'gubernur', 'jabar', 'ridwan', 'kamil', 'ulang', 'tahun']"
"['kpu', 'kurang', 'anggar', 'tahap', 'milu', 'rp', 'triliun', 'bahas', 'kemenkeu', 'tetap', 'pkpu', 'tahap']"
"['teliti', 'museum', 'geologi', 'ungkap', 'dulunya', 'sumedang', 'lembah', 'muara', 'rawa', 'bukti', 'temu', 'fosil', 'buaya', 'kura', 'kura', 'purba', 'via']"
"['deolipa', 'yumara', 'resmi', 'lapor', 'ketua', 'umum', 'aliansi', 'advokat', 'anti', 'hoax', 'zakirudin', 'lapor', 'layang', 'polres', 'metro', 'jakarta', 'selatan']"
"['vaksin', 'corona', 'warga', 'negara', 'percaya', 'fakta']"
"['korea', 'biasa', 'konsumsi', 'nasi', 'campur', 'biji', 'biji', 'hari', 'nasi', 'populer', 'japgokbap', 'ogokbap', 'fakta']"
"['sadio', 'mane', 'tinggal', 'liverpool', 'legenda', 'gabung', 'bayern', 'munich', 'linimasa', 'ramai', 'ucap', 'sentuh']"
"['rumah', 'ustadz', 'abdul', 'somad', 'bakar']"
"['beruang', 'kutub', 'es', 'laut', 'buru', 'kelompok', 'temu', 'makan']"
"['sydney', 'sweeney', 'bocor', 'behind', 'the', 'scene', 'adegan', 'intim', 'serial', 'euphoria', 'ngaku', 'rasa', 'tekan', 'berat']"
"['pemprov', 'dki', 'jakarta', 'boleh', 'pkl', 'jual', 'kawasan', 'car', 'free', 'day', 'pekan']"
